time,weekday,hour,volume
2017-08-06 16:00:00,6,16,9
2017-08-06 17:00:00,6,17,10
2017-08-06 18:00:00,6,18,9
2017-08-06 19:00:00,6,19,8
2017-08-06 20:00:00,6,20,0
2017-08-06 21:00:00,6,21,1
2017-08-06 22:00:00,6,22,1
2017-08-06 23:00:00,6,23,1
2017-08-07 00:00:00,0,0,0
2017-08-07 01:00:00,0,1,0
2017-08-07 02:00:00,0,2,1
2017-08-07 03:00:00,0,3,1
2017-08-07 04:00:00,0,4,1
2017-08-07 05:00:00,0,5,1
2017-08-07 06:00:00,0,6,2
2017-08-07 07:00:00,0,7,2
2017-08-07 08:00:00,0,8,2
2017-08-07 09:00:00,0,9,2
2017-08-07 10:00:00,0,10,1
2017-08-07 11:00:00,0,11,2
2017-08-07 12:00:00,0,12,4
2017-08-07 13:00:00,0,13,7
2017-08-07 14:00:00,0,14,7
2017-08-07 15:00:00,0,15,9
2017-08-07 16:00:00,0,16,11
2017-08-07 17:00:00,0,17,8
2017-08-07 18:00:00,0,18,9
2017-08-07 19:00:00,0,19,6
2017-08-07 20:00:00,0,20,2
2017-08-07 21:00:00,0,21,0
2017-08-07 22:00:00,0,22,2
2017-08-07 23:00:00,0,23,2
2017-08-08 00:00:00,1,0,2
2017-08-08 01:00:00,1,1,0
2017-08-08 02:00:00,1,2,1
2017-08-08 03:00:00,1,3,1
2017-08-08 04:00:00,1,4,1
2017-08-08 05:00:00,1,5,2
2017-08-08 06:00:00,1,6,2
2017-08-08 07:00:00,1,7,2
2017-08-08 08:00:00,1,8,0
2017-08-08 09:00:00,1,9,0
2017-08-08 10:00:00,1,10,1
2017-08-08 11:00:00,1,11,2
2017-08-08 12:00:00,1,12,4
2017-08-08 13:00:00,1,13,7
2017-08-08 14:00:00,1,14,9
2017-08-08 15:00:00,1,15,8
2017-08-08 16:00:00,1,16,10
2017-08-08 17:00:00,1,17,10
2017-08-08 18:00:00,1,18,9
2017-08-08 19:00:00,1,19,8
2017-08-08 20:00:00,1,20,0
2017-08-08 21:00:00,1,21,1
2017-08-08 22:00:00,1,22,2
2017-08-08 23:00:00,1,23,0
2017-08-09 00:00:00,2,0,0
2017-08-09 01:00:00,2,1,1
2017-08-09 02:00:00,2,2,0
2017-08-09 03:00:00,2,3,1
2017-08-09 04:00:00,2,4,1
2017-08-09 05:00:00,2,5,2
2017-08-09 06:00:00,2,6,1
2017-08-09 07:00:00,2,7,2
2017-08-09 08:00:00,2,8,1
2017-08-09 09:00:00,2,9,2
2017-08-09 10:00:00,2,10,0
2017-08-09 11:00:00,2,11,3
2017-08-09 12:00:00,2,12,5
2017-08-09 13:00:00,2,13,8
2017-08-09 14:00:00,2,14,8
2017-08-09 15:00:00,2,15,9
2017-08-09 16:00:00,2,16,11
2017-08-09 17:00:00,2,17,8
2017-08-09 18:00:00,2,18,7
2017-08-09 19:00:00,2,19,7
2017-08-09 20:00:00,2,20,1
2017-08-09 21:00:00,2,21,2
2017-08-09 22:00:00,2,22,0
2017-08-09 23:00:00,2,23,2
2017-08-10 00:00:00,3,0,0
2017-08-10 01:00:00,3,1,1
2017-08-10 02:00:00,3,2,1
2017-08-10 03:00:00,3,3,0
2017-08-10 04:00:00,3,4,0
2017-08-10 05:00:00,3,5,1
2017-08-10 06:00:00,3,6,1
2017-08-10 07:00:00,3,7,2
2017-08-10 08:00:00,3,8,0
2017-08-10 09:00:00,3,9,0
2017-08-10 10:00:00,3,10,2
2017-08-10 11:00:00,3,11,3
2017-08-10 12:00:00,3,12,4
2017-08-10 13:00:00,3,13,8
2017-08-10 14:00:00,3,14,8
2017-08-10 15:00:00,3,15,8
2017-08-10 16:00:00,3,16,9
2017-08-10 17:00:00,3,17,9
2017-08-10 18:00:00,3,18,8
2017-08-10 19:00:00,3,19,6
2017-08-10 20:00:00,3,20,0
2017-08-10 21:00:00,3,21,0
2017-08-10 22:00:00,3,22,0
2017-08-10 23:00:00,3,23,0
2017-08-11 00:00:00,4,0,0
2017-08-11 01:00:00,4,1,2
2017-08-11 02:00:00,4,2,0
2017-08-11 03:00:00,4,3,0
2017-08-11 04:00:00,4,4,1
2017-08-11 05:00:00,4,5,1
2017-08-11 06:00:00,4,6,1
2017-08-11 07:00:00,4,7,1
2017-08-11 08:00:00,4,8,2
2017-08-11 09:00:00,4,9,1
2017-08-11 10:00:00,4,10,1
2017-08-11 11:00:00,4,11,2
2017-08-11 12:00:00,4,12,4
2017-08-11 13:00:00,4,13,7
2017-08-11 14:00:00,4,14,7
2017-08-11 15:00:00,4,15,8
2017-08-11 16:00:00,4,16,11
2017-08-11 17:00:00,4,17,8
2017-08-11 18:00:00,4,18,9
2017-08-11 19:00:00,4,19,6
2017-08-11 20:00:00,4,20,2
2017-08-11 21:00:00,4,21,1
2017-08-11 22:00:00,4,22,1
2017-08-11 23:00:00,4,23,1
2017-08-12 00:00:00,5,0,1
2017-08-12 01:00:00,5,1,0
2017-08-12 02:00:00,5,2,1
2017-08-12 03:00:00,5,3,1
2017-08-12 04:00:00,5,4,1
2017-08-12 05:00:00,5,5,2
2017-08-12 06:00:00,5,6,1
2017-08-12 07:00:00,5,7,2
2017-08-12 08:00:00,5,8,1
2017-08-12 09:00:00,5,9,2
2017-08-12 10:00:00,5,10,0
2017-08-12 11:00:00,5,11,4
2017-08-12 12:00:00,5,12,3
2017-08-12 13:00:00,5,13,7
2017-08-12 14:00:00,5,14,7
2017-08-12 15:00:00,5,15,8
2017-08-12 16:00:00,5,16,11
2017-08-12 17:00:00,5,17,8
2017-08-12 18:00:00,5,18,8
2017-08-12 19:00:00,5,19,6
2017-08-12 20:00:00,5,20,0
2017-08-12 21:00:00,5,21,0
2017-08-12 22:00:00,5,22,2
2017-08-12 23:00:00,5,23,0
2017-08-13 00:00:00,6,0,0
2017-08-13 01:00:00,6,1,0
2017-08-13 02:00:00,6,2,2
2017-08-13 03:00:00,6,3,1
2017-08-13 04:00:00,6,4,1
2017-08-13 05:00:00,6,5,0
2017-08-13 06:00:00,6,6,1
2017-08-13 07:00:00,6,7,2
2017-08-13 08:00:00,6,8,2
2017-08-13 09:00:00,6,9,0
2017-08-13 10:00:00,6,10,0
2017-08-13 11:00:00,6,11,4
2017-08-13 12:00:00,6,12,3
2017-08-13 13:00:00,6,13,8
2017-08-13 14:00:00,6,14,7
2017-08-13 15:00:00,6,15,8
2017-08-13 16:00:00,6,16,11
2017-08-13 17:00:00,6,17,9
2017-08-13 18:00:00,6,18,9
2017-08-13 19:00:00,6,19,7
2017-08-13 20:00:00,6,20,1
2017-08-13 21:00:00,6,21,2
2017-08-13 22:00:00,6,22,1
2017-08-13 23:00:00,6,23,2
2017-08-14 00:00:00,0,0,2
2017-08-14 01:00:00,0,1,0
2017-08-14 02:00:00,0,2,2
2017-08-14 03:00:00,0,3,0
2017-08-14 04:00:00,0,4,1
2017-08-14 05:00:00,0,5,1
2017-08-14 06:00:00,0,6,2
2017-08-14 07:00:00,0,7,2
2017-08-14 08:00:00,0,8,0
2017-08-14 09:00:00,0,9,2
2017-08-14 10:00:00,0,10,1
2017-08-14 11:00:00,0,11,4
2017-08-14 12:00:00,0,12,4
2017-08-14 13:00:00,0,13,6
2017-08-14 14:00:00,0,14,9
2017-08-14 15:00:00,0,15,9
2017-08-14 16:00:00,0,16,9
2017-08-14 17:00:00,0,17,9
2017-08-14 18:00:00,0,18,9
2017-08-14 19:00:00,0,19,8
2017-08-14 20:00:00,0,20,0
2017-08-14 21:00:00,0,21,1
2017-08-14 22:00:00,0,22,1
2017-08-14 23:00:00,0,23,2
2017-08-15 00:00:00,1,0,1
2017-08-15 01:00:00,1,1,1
2017-08-15 02:00:00,1,2,2
2017-08-15 03:00:00,1,3,2
2017-08-15 04:00:00,1,4,0
2017-08-15 05:00:00,1,5,0
2017-08-15 06:00:00,1,6,2
2017-08-15 07:00:00,1,7,1
2017-08-15 08:00:00,1,8,0
2017-08-15 09:00:00,1,9,1
2017-08-15 10:00:00,1,10,0
2017-08-15 11:00:00,1,11,3
2017-08-15 12:00:00,1,12,5
2017-08-15 13:00:00,1,13,7
2017-08-15 14:00:00,1,14,8
2017-08-15 15:00:00,1,15,8
2017-08-15 16:00:00,1,16,11
2017-08-15 17:00:00,1,17,9
2017-08-15 18:00:00,1,18,9
2017-08-15 19:00:00,1,19,6
2017-08-15 20:00:00,1,20,0
2017-08-15 21:00:00,1,21,0
2017-08-15 22:00:00,1,22,2
2017-08-15 23:00:00,1,23,2
2017-08-16 00:00:00,2,0,1
2017-08-16 01:00:00,2,1,1
2017-08-16 02:00:00,2,2,2
2017-08-16 03:00:00,2,3,2
2017-08-16 04:00:00,2,4,1
2017-08-16 05:00:00,2,5,1
2017-08-16 06:00:00,2,6,1
2017-08-16 07:00:00,2,7,1
2017-08-16 08:00:00,2,8,0
2017-08-16 09:00:00,2,9,0
2017-08-16 10:00:00,2,10,2
2017-08-16 11:00:00,2,11,2
2017-08-16 12:00:00,2,12,3
2017-08-16 13:00:00,2,13,7
2017-08-16 14:00:00,2,14,9
2017-08-16 15:00:00,2,15,8
2017-08-16 16:00:00,2,16,9
2017-08-16 17:00:00,2,17,9
2017-08-16 18:00:00,2,18,9
2017-08-16 19:00:00,2,19,8
2017-08-16 20:00:00,2,20,0
2017-08-16 21:00:00,2,21,2
2017-08-16 22:00:00,2,22,2
2017-08-16 23:00:00,2,23,0
2017-08-17 00:00:00,3,0,0
2017-08-17 01:00:00,3,1,1
2017-08-17 02:00:00,3,2,1
2017-08-17 03:00:00,3,3,0
2017-08-17 04:00:00,3,4,0
2017-08-17 05:00:00,3,5,2
2017-08-17 06:00:00,3,6,2
2017-08-17 07:00:00,3,7,0
2017-08-17 08:00:00,3,8,2
2017-08-17 09:00:00,3,9,0
2017-08-17 10:00:00,3,10,2
2017-08-17 11:00:00,3,11,4
2017-08-17 12:00:00,3,12,4
2017-08-17 13:00:00,3,13,7
2017-08-17 14:00:00,3,14,7
2017-08-17 15:00:00,3,15,9
2017-08-17 16:00:00,3,16,10
2017-08-17 17:00:00,3,17,8
2017-08-17 18:00:00,3,18,7
2017-08-17 19:00:00,3,19,7
2017-08-17 20:00:00,3,20,2
2017-08-17 21:00:00,3,21,1
2017-08-17 22:00:00,3,22,2
2017-08-17 23:00:00,3,23,0
2017-08-18 00:00:00,4,0,1
2017-08-18 01:00:00,4,1,2
2017-08-18 02:00:00,4,2,2
2017-08-18 03:00:00,4,3,0
2017-08-18 04:00:00,4,4,1
2017-08-18 05:00:00,4,5,0
2017-08-18 06:00:00,4,6,0
2017-08-18 07:00:00,4,7,2
2017-08-18 08:00:00,4,8,2
2017-08-18 09:00:00,4,9,2
2017-08-18 10:00:00,4,10,2
2017-08-18 11:00:00,4,11,4
2017-08-18 12:00:00,4,12,3
2017-08-18 13:00:00,4,13,7
2017-08-18 14:00:00,4,14,9
2017-08-18 15:00:00,4,15,10
2017-08-18 16:00:00,4,16,9
2017-08-18 17:00:00,4,17,10
2017-08-18 18:00:00,4,18,9
2017-08-18 19:00:00,4,19,6
2017-08-18 20:00:00,4,20,2
2017-08-18 21:00:00,4,21,1
2017-08-18 22:00:00,4,22,2
2017-08-18 23:00:00,4,23,1
2017-08-19 00:00:00,5,0,1
2017-08-19 01:00:00,5,1,1
2017-08-19 02:00:00,5,2,2
2017-08-19 03:00:00,5,3,1
2017-08-19 04:00:00,5,4,0
2017-08-19 05:00:00,5,5,2
2017-08-19 06:00:00,5,6,2
2017-08-19 07:00:00,5,7,2
2017-08-19 08:00:00,5,8,1
2017-08-19 09:00:00,5,9,0
2017-08-19 10:00:00,5,10,2
2017-08-19 11:00:00,5,11,4
2017-08-19 12:00:00,5,12,4
2017-08-19 13:00:00,5,13,8
2017-08-19 14:00:00,5,14,8
2017-08-19 15:00:00,5,15,9
2017-08-19 16:00:00,5,16,9
2017-08-19 17:00:00,5,17,8
2017-08-19 18:00:00,5,18,9
2017-08-19 19:00:00,5,19,7
2017-08-19 20:00:00,5,20,0
2017-08-19 21:00:00,5,21,2
2017-08-19 22:00:00,5,22,2
2017-08-19 23:00:00,5,23,2
2017-08-20 00:00:00,6,0,2
2017-08-20 01:00:00,6,1,2
2017-08-20 02:00:00,6,2,0
2017-08-20 03:00:00,6,3,2
2017-08-20 04:00:00,6,4,1
2017-08-20 05:00:00,6,5,0
2017-08-20 06:00:00,6,6,2
2017-08-20 07:00:00,6,7,2
2017-08-20 08:00:00,6,8,1
2017-08-20 09:00:00,6,9,1
2017-08-20 10:00:00,6,10,0
2017-08-20 11:00:00,6,11,3
2017-08-20 12:00:00,6,12,4
2017-08-20 13:00:00,6,13,6
2017-08-20 14:00:00,6,14,8
2017-08-20 15:00:00,6,15,8
2017-08-20 16:00:00,6,16,11
2017-08-20 17:00:00,6,17,8
2017-08-20 18:00:00,6,18,9
2017-08-20 19:00:00,6,19,6
2017-08-20 20:00:00,6,20,2
2017-08-20 21:00:00,6,21,0
2017-08-20 22:00:00,6,22,0
2017-08-20 23:00:00,6,23,2
2017-08-21 00:00:00,0,0,1
2017-08-21 01:00:00,0,1,1
2017-08-21 02:00:00,0,2,0
2017-08-21 03:00:00,0,3,2
2017-08-21 04:00:00,0,4,0
2017-08-21 05:00:00,0,5,0
2017-08-21 06:00:00,0,6,1
2017-08-21 07:00:00,0,7,1
2017-08-21 08:00:00,0,8,1
2017-08-21 09:00:00,0,9,1
2017-08-21 10:00:00,0,10,0
2017-08-21 11:00:00,0,11,2
2017-08-21 12:00:00,0,12,4
2017-08-21 13:00:00,0,13,8
2017-08-21 14:00:00,0,14,7
2017-08-21 15:00:00,0,15,8
2017-08-21 16:00:00,0,16,11
2017-08-21 17:00:00,0,17,8
2017-08-21 18:00:00,0,18,8
2017-08-21 19:00:00,0,19,7
2017-08-21 20:00:00,0,20,2
